,country,vaccines
116,Pakistan,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
117,Palestine,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
118,Panama,Pfizer/BioNTech
119,Papua New Guinea,Oxford/AstraZeneca
120,Paraguay,Sputnik V
121,Peru,Sinopharm/Beijing
122,Philippines,"Oxford/AstraZeneca, Sinovac"
123,Poland,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
124,Portugal,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
125,Qatar,Pfizer/BioNTech
126,Romania,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
127,Russia,"EpiVacCorona, Sputnik V"
128,Rwanda,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
129,Saint Helena,Oxford/AstraZeneca
130,Saint Kitts and Nevis,Oxford/AstraZeneca
131,Saint Lucia,Oxford/AstraZeneca
132,Saint Vincent and the Grenadines,Oxford/AstraZeneca
133,San Marino,Sputnik V
134,Sao Tome and Principe,Oxford/AstraZeneca
135,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech"
136,Scotland,"Oxford/AstraZeneca, Pfizer/BioNTech"
137,Senegal,Sinopharm/Beijing
138,Serbia,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
139,Seychelles,"Oxford/AstraZeneca, Sinopharm/Beijing"
140,Sierra Leone,Oxford/AstraZeneca
141,Singapore,"Moderna, Pfizer/BioNTech"
142,Slovakia,Pfizer/BioNTech
143,Slovenia,"Oxford/AstraZeneca, Pfizer/BioNTech"
144,Solomon Islands,Oxford/AstraZeneca
145,South Africa,Johnson&Johnson
146,South Korea,"Oxford/AstraZeneca, Pfizer/BioNTech"
147,Spain,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
148,Sri Lanka,Oxford/AstraZeneca
149,Sudan,Oxford/AstraZeneca
150,Suriname,Oxford/AstraZeneca
151,Sweden,"Oxford/AstraZeneca, Pfizer/BioNTech"
152,Switzerland,"Moderna, Pfizer/BioNTech"
153,Taiwan,Oxford/AstraZeneca
154,Thailand,"Oxford/AstraZeneca, Sinovac"
155,Togo,Oxford/AstraZeneca
156,Trinidad and Tobago,Oxford/AstraZeneca
157,Tunisia,"Pfizer/BioNTech, Sinovac, Sputnik V"
158,Turkey,"Pfizer/BioNTech, Sinovac"
159,Turks and Caicos Islands,Pfizer/BioNTech
160,Uganda,Oxford/AstraZeneca
161,Ukraine,Oxford/AstraZeneca
162,United Arab Emirates,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
163,United Kingdom,"Oxford/AstraZeneca, Pfizer/BioNTech"
164,United States,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
165,Uruguay,"Pfizer/BioNTech, Sinovac"
166,Venezuela,Sputnik V
167,Vietnam,Oxford/AstraZeneca
168,Wales,"Oxford/AstraZeneca, Pfizer/BioNTech"
169,Zimbabwe,Sinopharm/Beijing
